index,Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,classification
486,352.3640163244702,158685.53742322954,138685.53742322954,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
487,352.3640163244702,241319.23709272355,221319.23709272355,1.3,2.81849121988592,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
488,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.3288010979164412,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
489,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.754299954483104,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
490,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.1203712827302974,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
491,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2470561585753501,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
492,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2174147021414685,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
493,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,3,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
494,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,1.6103725056685508e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
495,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,15.044557485649788,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
496,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,21.114360432026288,0.1964550470173209,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
497,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,1.2172097196309368,0.6563678253316937,0.933948316432946,0.2488766468043492,valid
498,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.1807816942155956,0.933948316432946,0.2488766468043492,valid
499,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.8442447553987321,0.2488766468043492,valid
500,352.3640163244702,241319.23709272355,221319.23709272355,1.3,1.3583402526772836,0.5,0.6142080385620302,0.640380180273075,1.076887147642189,0.2666584768645172,0.2658254801280326,4,2.742630250985734e-06,48.0200660019724,27.45051624765372,0.1964550470173209,0.6563678253316937,0.933948316432946,0.4842112544188324,valid
501,352.61682705849006,158685.53742322954,138685.53742322954,1.3,2.81849121988592,0.5,0.3288010979164412,0.754299954483104,1.1203712827302974,0.2470561585753501,0.2174147021414685,3,1.6103725056685508e-06,15.044557485649788,21.114360432026288,1.2172097196309368,0.1807816942155956,0.8442447553987321,0.4842112544188324,valid
502,346.1953952834723,168104.0644814699,148104.0644814699,1.3,2.611074314861745,0.5,0.4155706510089493,0.6907307851891179,1.120401758767372,0.3233179043974823,0.1975042361066811,3,1.8986915013547987e-06,19.6026294839811,20.59049815777376,1.1576740658351163,0.1960186055790153,0.3373783614850508,0.7162009887078952,valid
503,336.78010647752507,168104.0644814699,148104.0644814699,1.3,2.611074314861745,0.5,0.4155706510089493,0.6907307851891179,1.120401758767372,0.3233179043974823,0.1975042361066811,3,1.8986915013547987e-06,19.6026294839811,20.59049815777376,1.1576740658351163,0.1960186055790153,0.3373783614850508,0.7162009887078952,valid
504,346.1953952834723,233099.2472559217,213099.2472559217,1.3,2.611074314861745,0.5,0.4155706510089493,0.6907307851891179,1.120401758767372,0.3233179043974823,0.1975042361066811,3,1.8986915013547987e-06,19.6026294839811,20.59049815777376,1.1576740658351163,0.1960186055790153,0.3373783614850508,0.7162009887078952,valid
505,346.1953952834723,168104.0644814699,148104.0644814699,1.3,1.2860552463866364,0.5,0.4155706510089493,0.6907307851891179,1.120401758767372,0.3233179043974823,0.1975042361066811,3,1.8986915013547987e-06,19.6026294839811,20.59049815777376,1.1576740658351163,0.1960186055790153,0.3373783614850508,0.7162009887078952,valid
