index,config_id,Tfc,Pa_des,Sc,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,ifc,Ucell,ifc_1,ifc_2,ifc_3,ifc_4,ifc_5,ifc_6,ifc_7,ifc_8,ifc_9,ifc_10,ifc_11,ifc_12,ifc_13,ifc_14,ifc_15,ifc_16,ifc_17,ifc_18,ifc_19,ifc_20,ifc_21,ifc_22,ifc_23,ifc_24,ifc_25,ifc_26,ifc_27,ifc_28,ifc_29,ifc_30,ifc_31,Ucell_1,Ucell_2,Ucell_3,Ucell_4,Ucell_5,Ucell_6,Ucell_7,Ucell_8,Ucell_9,Ucell_10,Ucell_11,Ucell_12,Ucell_13,Ucell_14,Ucell_15,Ucell_16,Ucell_17,Ucell_18,Ucell_19,Ucell_20,Ucell_21,Ucell_22,Ucell_23,Ucell_24,Ucell_25,Ucell_26,Ucell_27,Ucell_28,Ucell_29,Ucell_30,Ucell_31
4,cfg_4,335.52784537349874,256939.5070875871,1.7192037156121993,0.25863125162773637,0.6227054211223083,1.3858755282428263,0.28430101500936167,0.22165640977939205,4.0,4.8676013414471185e-06,74.29569353435224,26.117500571291988,1.1682640839999705,"[8.22832145e-04 1.00821476e-01 2.00821476e-01 3.00821476e-01
 4.00821476e-01 5.00821476e-01 6.00821476e-01 7.00821476e-01
 8.00821476e-01 9.00821476e-01 1.00082148e+00 1.10082148e+00
 1.20082148e+00 1.30082148e+00 1.40082148e+00 1.50082148e+00
 1.60082148e+00 1.70082148e+00 1.80082148e+00 1.90082148e+00
 2.00082148e+00 2.10082148e+00 2.20082148e+00 2.30082148e+00
 2.40082148e+00 2.50082148e+00 2.60082148e+00 2.70082148e+00
 2.80082148e+00 2.90082148e+00 3.00082148e+00]","[1.10696622 1.06208933 1.03098687 1.00593733 0.98435775 0.96491014
 0.94696999 0.93015265 0.91419986 0.89892875 0.88420412 0.86992243
 0.85600201 0.84237683 0.82899229 0.81580257 0.80276802 0.78985293
 0.77703114 0.76427682 0.75156948 0.73889325 0.72623525 0.71358613
 0.70093537 0.68826869 0.67557761 0.66285489 0.65008172 0.63724035
 0.62431671]",0.0008228321449472329,0.10082147576018767,0.20082147576003426,0.30082147576003604,0.400821475760039,0.500821475760042,0.6008214757600451,0.700821475760048,0.800821475760051,0.9008214757600539,1.000821475760057,1.1008214757600598,1.2008214757600628,1.300821475760066,1.4008214757600688,1.5008214757600717,1.6008214757600618,1.7008214757600497,1.8008214757600378,1.9008214757600257,2.0008214757600142,2.100821475760002,2.20082147575999,2.3008214757599785,2.4008214757599666,2.5008214757599543,2.6008214757599424,2.7008214757599305,2.8008214757599186,2.9008214757599067,3.0008214757598948,1.1069662224792514,1.062089333733253,1.0309868672557514,1.005937331663559,0.9843577462348102,0.9649101354625308,0.9469699947235184,0.9301526450857369,0.9141998561662208,0.8989287521400416,0.8842041234595591,0.8699224305384431,0.8560020130005841,0.842376825177101,0.8289922946456995,0.81580257348469,0.8027680242520426,0.7898529273036439,0.7770311376176194,0.7642768155747084,0.7515694797181078,0.7388932532516301,0.7262352471086052,0.713586130041963,0.7009353679067534,0.6882686871954321,0.6755776079553897,0.6628548949533661,0.6500817218608328,0.637240350800413,0.6243167121766546
5,cfg_5,341.0678523596052,291298.6956534656,1.962449896273621,0.43563018598518477,0.6378164130538382,3.9271249196308284,0.1829573567813768,0.1894397907801955,4.0,1.214752753247984e-06,4.350731400442646,22.853203121116657,2.316904174263655,"[8.10209987e-04 1.00808832e-01 2.00808832e-01 3.00808832e-01
 4.00808832e-01 5.00808832e-01 6.00808832e-01 7.00808832e-01
 8.00808832e-01 9.00808832e-01 1.00080883e+00 1.10080883e+00
 1.20080883e+00 1.30080883e+00 1.40080883e+00 1.50080883e+00
 1.60080883e+00 1.70080883e+00 1.80080883e+00 1.90080883e+00
 2.00080883e+00 2.10080883e+00 2.20080883e+00 2.30080883e+00
 2.40080883e+00 2.50080883e+00 2.60080883e+00 2.70080883e+00
 2.80080883e+00 2.90080883e+00 3.00080883e+00]","[1.02798913 0.98350341 0.95125476 0.92474913 0.90148465 0.88043435
 0.86100568 0.84281168 0.82558536 0.80913233 0.7933049  0.77798688
 0.76308438 0.74851994 0.73422195 0.72014154 0.70623349 0.69246064
 0.67879617 0.66521991 0.65171969 0.63829251 0.6249221  0.61158847
 0.59829466 0.58502582 0.57175021 0.55844918 0.54510844 0.53171418
 0.51825268]",0.0008102099874524093,0.10080883229672749,0.2008088322965717,0.3008088322965734,0.4008088322965764,0.5008088322965794,0.6008088322965823,0.7008088322965851,0.8008088322965882,0.900808832296591,1.000808832296594,1.100808832296597,1.2008088322966,1.300808832296603,1.4008088322966057,1.5008088322966087,1.6008088322965988,1.7008088322965869,1.8008088322965752,1.9008088322965635,2.000808832296552,2.10080883229654,2.2008088322965285,2.3008088322965166,2.400808832296505,2.500808832296493,2.6008088322964817,2.7008088322964703,2.800808832296458,2.9008088322964465,3.0008088322964346,1.0279891260703218,0.9835034116634239,0.9512547565538028,0.9247491254645522,0.9014846469763077,0.8804343514330082,0.8610056765278815,0.8428116770025031,0.8255853554773063,0.8091323287225449,0.7933048997130724,0.7779868769724977,0.7630843825973367,0.7485199447101505,0.7342219526013138,0.7201415434561812,0.7062334875366603,0.692460640075208,0.67879617303209,0.6652199113585732,0.6517196909762693,0.6382925092620286,0.6249221004824073,0.611588472857761,0.5982946643246085,0.5850258248410936,0.5717502050187067,0.5584491791031507,0.5451084418833587,0.5317141773205742,0.5182526803009943
8,cfg_8,354.7327494576205,280562.5733568594,2.108924262918536,0.34873310125785806,0.7645180451892326,1.7258438562073695,0.37772111855083196,0.1523929099056143,4.0,2.787870238795229e-06,33.31774708275289,20.571692857953813,1.7120740235082392,"[8.25192462e-04 1.00823840e-01 2.00823840e-01 3.00823840e-01
 4.00823840e-01 5.00823840e-01 6.00823840e-01 7.00823840e-01
 8.00823840e-01 9.00823840e-01 1.00082384e+00 1.10082384e+00
 1.20082384e+00 1.30082384e+00 1.40082384e+00 1.50082384e+00
 1.60082384e+00 1.70082384e+00 1.80082384e+00 1.90082384e+00
 2.00082384e+00 2.10082384e+00 2.20082384e+00 2.30082384e+00
 2.40082384e+00 2.50082384e+00 2.60082384e+00 2.70082384e+00
 2.80082384e+00 2.90082384e+00 3.00082384e+00]","[1.08635342 1.04042339 1.00843952 0.98284836 0.9610228  0.94172201
 0.92425343 0.90818834 0.89324074 0.87921052 0.86595053 0.85334947
 0.84132087 0.82979698 0.8187303  0.80805437 0.80058628 0.7924375
 0.78260304 0.77332221 0.76409654 0.7547351  0.74522525 0.73560345
 0.72590114 0.71615896 0.70642655 0.6967194  0.68703536 0.67736902
 0.66771516]",0.0008251924616134943,0.1008238399886873,0.20082383998853434,0.3008238399885361,0.4008238399885391,0.5008238399885421,0.600823839988545,0.700823839988548,0.8008238399885509,0.9008238399885539,1.0008238399885567,1.10082383998856,1.2008238399885627,1.3008238399885659,1.4008238399885689,1.5008238399885716,1.6008238399885615,1.7008238399885496,1.8008238399885381,1.9008238399885256,2.000823839988514,2.100823839988502,2.20082383998849,2.300823839988478,2.4008238399884663,2.5008238399884544,2.6008238399884425,2.7008238399884306,2.8008238399884187,2.9008238399884068,3.000823839988395,1.0863534221708122,1.0404233874188253,1.008439519176062,0.9828483566982398,0.9610227993199993,0.9417220050374487,0.9242534321253033,0.9081883435795188,0.8932407401412695,0.8792105191095518,0.8659505258690707,0.8533494733981282,0.8413208666429944,0.8297969807057821,0.8187303021189611,0.8080543693779193,0.8005862802861338,0.7924375026074059,0.7826030408406522,0.7733222146329548,0.7640965362293006,0.7547350962417003,0.7452252476769545,0.7356034510614374,0.7259011371263449,0.716158959871154,0.7064265457576135,0.6967193950190309,0.6870353627644135,0.6773690176630921,0.6677151562762134
7,cfg_7,347.58220777495336,213483.0686630483,2.2635211934083337,0.4203818549302254,0.6668485870344056,1.4582912433667965,0.2195617504034195,0.26664598229363845,5.0,7.782277378363154e-07,0.48146258004547693,37.36706501927024,1.851541181132614,"[8.18476226e-04 1.00817113e-01 2.00817113e-01 3.00817113e-01
 4.00817113e-01 5.00817113e-01 6.00817113e-01 7.00817113e-01
 8.00817113e-01 9.00817113e-01 1.00081711e+00 1.10081711e+00
 1.20081711e+00 1.30081711e+00 1.40081711e+00 1.50081711e+00
 1.60081711e+00 1.70081711e+00 1.80081711e+00 1.90081711e+00
 2.00081711e+00 2.10081711e+00 2.20081711e+00 2.30081711e+00
 2.40081711e+00 2.50081711e+00 2.60081711e+00 2.70081711e+00
 2.80081711e+00 2.90081711e+00 3.00081711e+00]","[0.79982265 0.76055511 0.73195641 0.70887265 0.68923111 0.67198669
 0.65653086 0.64247555 0.62956749 0.61934611 0.61212481 0.60206833
 0.59192729 0.58200195 0.57180433 0.5613554  0.55075192 0.54012114
 0.52954393 0.51913907 0.50885678 0.49865107 0.48847114 0.47828022
 0.46805216 0.45776539 0.44740022 0.43693767 0.42636059 0.41564796
 0.40477903]",0.0008184762261355726,0.10081711256292467,0.2008171125627705,0.30081711256277227,0.40081711256277525,0.5008171125627782,0.6008171125627811,0.700817112562784,0.8008171125627871,0.90081711256279,1.000817112562793,1.100817112562796,1.2008171125627989,1.3008171125628019,1.4008171125628046,1.5008171125628078,1.6008171125627977,1.7008171125627858,1.8008171125627737,1.9008171125627622,2.0008171125627503,2.1008171125627384,2.2008171125627265,2.300817112562715,2.4008171125627027,2.5008171125626912,2.6008171125626793,2.7008171125626674,2.8008171125626555,2.900817112562644,3.0008171125626317,0.7998226476317358,0.7605551118535208,0.7319564091785069,0.7088726454453088,0.6892311095028926,0.6719866934138826,0.6565308579330811,0.6424755542534065,0.6295674900957947,0.6193461068769583,0.6121248124067539,0.6020683298101982,0.5919272886703583,0.582001946558385,0.5718043349368683,0.5613554035274981,0.5507519162422085,0.5401211374664318,0.5295439288482023,0.5191390717061404,0.5088567768550123,0.49865107092634253,0.48847113791964414,0.47828021585270336,0.4680521587168676,0.45776538757004465,0.44740022084304554,0.43693767227779773,0.4263605904421417,0.41564796192774345,0.4047790278079606
6,cfg_6,345.26578070859523,222534.7460890382,2.936756085467559,0.19112335766271915,0.5509298980766699,2.249981624805538,0.2048864396343307,0.17972985641767308,3.0,4.5984310492773755e-06,78.14198837898181,25.249477612448317,2.1923843948643413,"[8.20477865e-04 1.00819118e-01 2.00819118e-01 3.00819118e-01
 4.00819118e-01 5.00819118e-01 6.00819118e-01 7.00819118e-01
 8.00819118e-01 9.00819118e-01 1.00081912e+00 1.10081912e+00
 1.20081912e+00 1.30081912e+00 1.40081912e+00 1.50081912e+00
 1.60081912e+00 1.70081912e+00 1.80081912e+00 1.90081912e+00
 2.00081912e+00 2.10081912e+00 2.20081912e+00 2.30081912e+00
 2.40081912e+00 2.50081912e+00 2.60081912e+00 2.70081912e+00
 2.80081912e+00 2.90081912e+00 3.00081912e+00]","[1.17838783 1.11300218 1.06862152 1.03335456 1.00346373 0.97724557
 0.9537579  0.932413   0.91278889 0.89461738 0.8776835  0.86181807
 0.8468837  0.83276617 0.81939327 0.80938002 0.79703319 0.7842252
 0.77138011 0.75810563 0.74446607 0.73053598 0.71636975 0.70202731
 0.68754255 0.67296874 0.65834393 0.64367309 0.62894647 0.6141518
 0.59927607]",0.0008204778648411679,0.10081911755583263,0.2008191175556788,0.30081911755568064,0.4008191175556836,0.5008191175556865,0.6008191175556895,0.7008191175556925,0.8008191175556953,0.9008191175556983,1.0008191175557013,1.1008191175557043,1.200819117555707,1.3008191175557102,1.4008191175557132,1.500819117555716,1.6008191175557058,1.7008191175556941,1.8008191175556822,1.9008191175556706,2.0008191175556584,2.1008191175556465,2.200819117555635,2.3008191175556227,2.4008191175556113,2.5008191175555994,2.6008191175555875,2.7008191175555756,2.800819117555564,2.9008191175555518,3.00081911755554,1.1783878274116872,1.113002178819992,1.0686215197816382,1.033354559696473,1.0034637342297819,0.9772455741563398,0.9537578980437474,0.9324130022524554,0.9127888850562975,0.8946173832080235,0.8776834981276196,0.8618180652730733,0.8468837024543159,0.8327661729881918,0.8193932741700019,0.8093800212938407,0.7970331892227711,0.7842251958041252,0.7713801134104682,0.7581056310135673,0.7444660702333845,0.7305359758581149,0.7163697526539529,0.7020273068856568,0.6875425499902172,0.6729687448835238,0.6583439282402404,0.6436730939969373,0.6289464704961503,0.6141518016729548,0.5992760708837426
9,cfg_9,343.96832222642945,135330.88366476464,1.3041622640533073,0.33299082437304717,0.5667507669922259,3.0349333407316066,0.357920962989147,0.21887515747841432,5.0,3.620312490890049e-06,50.969124188298096,29.448298516138724,0.17061777139111442,"[8.13820470e-04 1.00812449e-01 2.00812449e-01 3.00812449e-01
 4.00812449e-01 5.00812449e-01 6.00812449e-01 7.00812449e-01
 8.00812449e-01 9.00812449e-01 1.00081245e+00 1.10081245e+00
 1.20081245e+00 1.30081245e+00 1.40081245e+00 1.50081245e+00
 1.60081245e+00 1.70081245e+00 1.80081245e+00 1.90081245e+00
 2.00081245e+00 2.10081245e+00 2.20081245e+00 2.30081245e+00
 2.40081245e+00 2.50081245e+00 2.60081245e+00 2.70081245e+00
 2.80081245e+00 2.90081245e+00 3.00081245e+00]","[1.0205039  0.94918557 0.90796736 0.87672364 0.85077182 0.82820294
 0.80803107 0.78967331 0.77275305 0.75701038 0.74225721 0.72835223
 0.71519223 0.70268734 0.69443743 0.68859302 0.67975561 0.66866514
 0.65891231 0.64905282 0.63892309 0.6284873  0.61773829 0.60669723
 0.59542075 0.58387175 0.57205745 0.56001387 0.54769514 0.53495188
 0.52154854]",0.0008138204697722859,0.10081244894095832,0.20081244894080325,0.300812448940805,0.400812448940808,0.500812448940811,0.6008124489408139,0.7008124489408168,0.8008124489408198,0.9008124489408227,1.0008124489408257,1.1008124489408284,1.2008124489408314,1.3008124489408344,1.4008124489408373,1.5008124489408403,1.6008124489408302,1.7008124489408187,1.8008124489408066,1.900812448940795,2.0008124489407835,2.1008124489407716,2.2008124489407597,2.300812448940748,2.4008124489407363,2.5008124489407244,2.600812448940713,2.700812448940701,2.800812448940689,2.9008124489406772,3.0008124489406653,1.020503900984692,0.9491855695592684,0.9079673625998778,0.8767236424261684,0.8507718194688346,0.8282029416776723,0.808031074423803,0.7896733082799928,0.7727530478928459,0.7570103753808859,0.742257212575333,0.7283522259799742,0.7151922315469317,0.7026873429237992,0.6944374293736707,0.6885930230643715,0.6797556107132856,0.6686651404133888,0.6589123076137672,0.649052821638139,0.6389230875288359,0.6284872956113992,0.6177382910239934,0.6066972281320099,0.5954207454173717,0.5838717524952347,0.5720574518455526,0.5600138702320032,0.5476951371514697,0.5349518793653713,0.5215485365907935
0,cfg_0,333.1356263708664,162507.81330484303,1.8653732790433675,0.5596315836512876,0.7095291132605618,3.4614626589017945,0.37119430149004823,0.27964180708416914,4.0,1.8094652655893989e-06,76.20677057718835,34.5366175055757,1.2678067439959668,"[8.08578528e-04 1.00807198e-01 2.00807198e-01 3.00807198e-01
 4.00807198e-01 5.00807198e-01 6.00807198e-01 7.00807198e-01
 8.00807198e-01 9.00807198e-01 1.00080720e+00 1.10080720e+00
 1.20080720e+00 1.30080720e+00 1.40080720e+00 1.50080720e+00
 1.60080720e+00 1.70080720e+00 1.80080720e+00 1.90080720e+00
 2.00080720e+00 2.10080720e+00 2.20080720e+00 2.30080720e+00
 2.40080720e+00 2.50080720e+00 2.60080720e+00 2.70080720e+00
 2.80080720e+00 2.90080720e+00 3.00080720e+00]","[1.08997733 1.03911415 1.00685546 0.98205184 0.96115877 0.94267982
 0.92592324 0.91044648 0.8959545  0.88224056 0.86915267 0.85657505
 0.84441197 0.83259141 0.82105672 0.80976209 0.79867107 0.78775954
 0.77700416 0.7663881  0.75589155 0.74550303 0.73522309 0.72503509
 0.71491384 0.7048427  0.69480998 0.68480551 0.674819   0.66484117
 0.65486314]",0.0008085785280007418,0.10080719803485826,0.20080719803470212,0.3008071980347039,0.4008071980347069,0.5008071980347099,0.6008071980347127,0.7008071980347157,0.8008071980347186,0.9008071980347214,1.0008071980347244,1.1008071980347274,1.2008071980347301,1.300807198034733,1.400807198034736,1.5008071980347388,1.600807198034729,1.7008071980347172,1.8008071980347056,1.9008071980346937,2.000807198034682,2.1008071980346705,2.2008071980346586,2.300807198034647,2.4008071980346353,2.500807198034624,2.6008071980346124,2.7008071980346005,2.800807198034589,2.900807198034577,3.0008071980345656,1.0899773321871487,1.0391141474600099,1.0068554604508435,0.98205183863312,0.9611587738641298,0.9426798151748649,0.9259232352037773,0.9104464790007272,0.8959544970709413,0.8822405632285926,0.8691526655273955,0.8565750499359049,0.8444119655497452,0.8325914134529357,0.8210567191766679,0.8097620941730936,0.7986710687089078,0.7877595381905728,0.7770041588913985,0.7663880978044918,0.7558915488343347,0.7455030284322912,0.7352230937592648,0.7250350905180264,0.7149138353379683,0.7048426984668512,0.6948099807907541,0.6848055061093142,0.6748190034699773,0.6648411710756714,0.6548631392680373
1,cfg_1,359.5063430320375,295092.39172398706,2.5733649285721785,0.6093449825558099,0.7796809137194791,1.970342129680445,0.29184167800438965,0.24072573677974388,5.0,1.672637177804459e-06,65.77118406830691,33.61080825146312,0.7402680646074016,"[8.09711050e-04 1.00808333e-01 2.00808333e-01 3.00808333e-01
 4.00808333e-01 5.00808333e-01 6.00808333e-01 7.00808333e-01
 8.00808333e-01 9.00808333e-01 1.00080833e+00 1.10080833e+00
 1.20080833e+00 1.30080833e+00 1.40080833e+00 1.50080833e+00
 1.60080833e+00 1.70080833e+00 1.80080833e+00 1.90080833e+00
 2.00080833e+00 2.10080833e+00 2.20080833e+00 2.30080833e+00
 2.40080833e+00 2.50080833e+00 2.60080833e+00 2.70080833e+00
 2.80080833e+00 2.90080833e+00 3.00080833e+00]","[0.99485795 0.96675785 0.94401172 0.9245811  0.90743035 0.89196235
 0.87780073 0.86469599 0.85244235 0.84320866 0.83537163 0.82576264
 0.81655522 0.80774383 0.79901085 0.79025316 0.78149941 0.77276563
 0.76408565 0.75551429 0.74704241 0.73865802 0.73035053 0.72211017
 0.71392801 0.70579582 0.69770602 0.6896516  0.68162601 0.67362352
 0.66563882]",0.0008097110500072833,0.10080833250343797,0.20080833250328212,0.30080833250328387,0.40080833250328674,0.5008083325032896,0.6008083325032926,0.7008083325032956,0.8008083325032984,0.9008083325033013,1.0008083325033041,1.1008083325033073,1.20080833250331,1.300808332503313,1.400808332503316,1.5008083325033188,1.600808332503309,1.7008083325032974,1.8008083325032858,1.900808332503274,2.000808332503262,2.1008083325032505,2.200808332503239,2.300808332503227,2.4008083325032157,2.500808332503204,2.6008083325031923,2.700808332503181,2.800808332503168,2.9008083325031566,3.000808332503145,0.9948579464611225,0.9667578468977978,0.9440117163623001,0.9245811000144775,0.9074303519238096,0.8919623506593306,0.8778007333501296,0.8646959879722722,0.8524423509223522,0.8432086617012983,0.8353716296389022,0.8257626424098047,0.8165552151364869,0.8077438298664741,0.7990108496463995,0.7902531593392286,0.7814994084170743,0.7727656285356154,0.7640856496376284,0.7555142933664198,0.7470424103589534,0.738658020256339,0.7303505280087608,0.722110173531965,0.7139280095078907,0.7057958159476697,0.6977060175908256,0.6896515950594317,0.6816260054242171,0.6736235210201083,0.6656388227279315
2,cfg_2,360.9199673977638,299851.0671963234,2.500136999301433,0.5718034125610905,0.611276189220461,1.9019494160539474,0.32837087320930924,0.25388862088189534,4.0,2.732947577682414e-06,70.19224818989335,32.26214753688703,1.5886545325474557,"[8.26597661e-04 1.00825248e-01 2.00825248e-01 3.00825248e-01
 4.00825248e-01 5.00825248e-01 6.00825248e-01 7.00825248e-01
 8.00825248e-01 9.00825248e-01 1.00082525e+00 1.10082525e+00
 1.20082525e+00 1.30082525e+00 1.40082525e+00 1.50082525e+00
 1.60082525e+00 1.70082525e+00 1.80082525e+00 1.90082525e+00
 2.00082525e+00 2.10082525e+00 2.20082525e+00 2.30082525e+00
 2.40082525e+00 2.50082525e+00 2.60082525e+00 2.70082525e+00
 2.80082525e+00 2.90082525e+00 3.00082525e+00]","[1.06648442 1.03581258 1.01085188 0.98941437 0.97038446 0.95312305
 0.9372308  0.92248169 0.91090006 0.89818991 0.88576408 0.87354027
 0.86133961 0.84919551 0.83712841 0.82515312 0.81330784 0.80165094
 0.79012613 0.77867753 0.76727435 0.75589492 0.7445194  0.73313072
 0.72171283 0.71025028 0.69872783 0.68713025 0.67544198 0.66364699
 0.65172849]",0.0008265976609462488,0.10082524750629591,0.2008252475061432,0.30082524750614503,0.400825247506148,0.500825247506151,0.600825247506154,0.7008252475061569,0.8008252475061599,0.9008252475061629,1.0008252475061659,1.100825247506169,1.200825247506172,1.3008252475061748,1.400825247506178,1.500825247506181,1.6008252475061706,1.7008252475061585,1.8008252475061468,1.900825247506135,2.000825247506123,2.1008252475061107,2.2008252475060983,2.300825247506087,2.400825247506075,2.5008252475060626,2.6008252475060507,2.700825247506039,2.8008252475060273,2.900825247506015,3.000825247506003,1.0664844162842435,1.0358125779985183,1.0108518786911684,0.9894143729348329,0.970384458508291,0.9531230500212313,0.9372308024438804,0.9224816879702192,0.9109000639545389,0.8981899133134814,0.8857640836450993,0.8735402664846627,0.8613396096691243,0.8491955069914949,0.8371284056423829,0.8251531180774886,0.8133078402442582,0.8016509402643641,0.7901261287053931,0.7786775329272475,0.7672743488178081,0.755894916250599,0.7445194021212481,0.7331307189318115,0.7217128323623669,0.710250275596126,0.698727833700626,0.6871302469879033,0.6754419822036355,0.6636469933046434,0.6517284864469396
3,cfg_3,348.1981116031905,138713.68347583408,2.2083582285498022,0.37959681877597296,0.6584381667930899,2.390064411916288,0.39097617821251596,0.19383756486290948,4.0,2.148575404642252e-06,23.777098821274777,37.90004589876244,0.09963188651244972,"[8.27014244e-04 1.00825665e-01 2.00825665e-01 3.00825665e-01
 4.00825665e-01 5.00825665e-01 6.00825665e-01 7.00825665e-01
 8.00825665e-01 9.00825665e-01 1.00082566e+00 1.10082566e+00
 1.20082566e+00 1.30082566e+00 1.40082566e+00 1.50082566e+00
 1.60082566e+00 1.70082566e+00 1.80082566e+00 1.90082566e+00
 2.00082566e+00 2.10082566e+00 2.20082566e+00 2.30082566e+00
 2.40082566e+00 2.50082566e+00 2.60082566e+00 2.70082566e+00
 2.80082566e+00 2.90082566e+00 3.00082566e+00]","[0.95202037 0.89123377 0.8527536  0.82305701 0.79823672 0.77658546
 0.75719168 0.73950626 0.72317018 0.70793456 0.69361907 0.68008847
 0.66723847 0.65498677 0.64326723 0.63202578 0.62121762 0.61080519
 0.6007566  0.59104459 0.58164559 0.5725389  0.56370671 0.55513299
 0.54680353 0.53870562 0.53082776 0.52315953 0.51569143 0.50841496
 0.5013244 ]",0.0008270142442482144,0.10082566477535655,0.20082566477520392,0.3008256647752058,0.4008256647752087,0.5008256647752117,0.6008256647752147,0.7008256647752177,0.8008256647752205,0.9008256647752236,1.0008256647752267,1.1008256647752297,1.2008256647752324,1.3008256647752356,1.4008256647752386,1.5008256647752416,1.6008256647752312,1.7008256647752191,1.8008256647752077,1.9008256647751958,2.0008256647751836,2.1008256647751717,2.20082566477516,2.300825664775148,2.4008256647751356,2.5008256647751237,2.600825664775112,2.7008256647751,2.8008256647750875,2.900825664775076,3.000825664775064,0.9520203686706827,0.8912337733528295,0.8527536007407823,0.8230570128613705,0.7982367196058257,0.7765854633313334,0.7571916775217119,0.739506262490345,0.7231701774071054,0.7079345575647615,0.6936190666862233,0.6800884727430835,0.6672384686889762,0.6549867736962864,0.6432672307529089,0.6320257796283804,0.6212176237102012,0.6108051858717886,0.6007566013237664,0.591044586529296,0.5816455925005456,0.5725388991097579,0.5637067086804877,0.5551329857153485,0.546803531719309,0.5387056183905968,0.5308277608176368,0.523159531567429,0.5156914264260446,0.5084149555595712,0.5013243960346492
